lower,upper,duration,action,depth
0,4,4e-07,0,3
4,9,8e-07,0,4
9,14,6e-07,0,4
14,19,8e-07,0,5
19,24,8e-07,0,5
24,30,3e-06,0,6
30,36,7e-07,0,6
36,42,8e-07,0,7
42,49,8e-07,0,7
49,56,1.1e-06,0,7
56,63,9e-07,0,7
63,71,8e-07,0,7
71,79,1.1e-06,0,8
79,87,1.8e-06,0,8
87,96,7.6e-06,0,8
96,105,1e-06,0,8
105,115,1.3e-06,0,9
115,125,1.1e-06,0,9
125,136,1.2e-06,0,9
136,147,1.3e-06,0,9
147,159,4.8e-06,0,9
159,171,1.8e-06,0,9
171,184,1.7e-06,0,9
184,198,1.4e-06,0,9
198,212,1.5e-06,0,10
212,227,6.4e-06,0,10
227,243,1.8e-06,0,10
243,260,1.8e-06,0,10
260,277,1.8e-06,0,10
277,295,5.8e-06,0,10
295,314,2.4e-06,0,10
314,334,2.8e-06,0,10
334,355,4.1e-06,0,11
355,377,2.5e-06,0,11
377,400,2.9e-06,0,11
400,424,9.4e-06,0,11
424,450,3e-06,0,11
450,477,4.8e-06,0,11
477,505,3.2e-06,0,11
505,535,8.7e-06,0,11
535,566,4e-06,0,11
566,599,4.2e-06,0,11
599,633,3.9e-06,0,11
633,669,8.7e-06,0,11
669,707,4.6e-06,0,11
707,747,5.4e-06,0,11
747,788,8.3e-06,0,11
788,832,5.4e-06,0,12
832,878,6.1e-06,0,12
878,926,1.07e-05,0,12
926,976,6.9e-06,0,12
976,1029,6.3e-06,0,12
1029,1084,1.2e-05,0,12
1084,1142,7.6e-06,0,12
1142,1203,7e-06,0,12
1203,1267,8.1e-06,0,12
1267,1334,1.52e-05,0,12
1334,1404,9e-06,0,13
1404,1478,9.2e-06,0,13
1478,1555,1.58e-05,0,13
1555,1636,1e-05,0,13
1636,1721,1.06e-05,0,13
1721,1810,1.5e-05,0,13
1810,1903,1.14e-05,0,13
1903,2001,1.23e-05,0,13
2001,2103,2.41e-05,0,13
2103,2210,1.46e-05,0,13
2210,2322,1.42e-05,0,13
2322,2440,1.4e-05,0,14
2440,2563,2.6e-05,0,14
2563,2692,1.66e-05,0,14
2692,2827,1.6e-05,0,14
2827,2969,1.86e-05,0,14
2969,3117,2.83e-05,0,14
3117,3272,1.93e-05,0,14
3272,3435,2.21e-05,0,14
3435,3605,3.22e-05,0,14
3605,3783,2.24e-05,0,14
3783,3969,2.4e-05,0,14
3969,4164,4.54e-05,0,14
4164,4368,2.46e-05,0,14
4368,4581,2.59e-05,0,14
4581,4804,3.39e-05,0,15
4804,5037,3.12e-05,0,15
5037,5281,5.34e-05,0,15
5281,5536,3.48e-05,0,15
5536,5802,3.47e-05,0,15
5802,6080,3.57e-05,0,15
6080,6371,5.48e-05,0,15
6371,6674,3.78e-05,0,15
6674,6991,4.05e-05,0,15
6991,7322,6.03e-05,0,16
7322,7667,4.48e-05,0,16
7667,8027,4.75e-05,0,16
8027,8402,7.11e-05,0,16
8402,8793,5.2e-05,0,16
8793,9201,9.13e-05,0,16
9201,9626,5.67e-05,0,16
9626,10069,5.37e-05,0,16
10069,10530,6.09e-05,0,16
10530,11010,6.07e-05,0,16
11010,11509,0.0001121,0,16
11509,12029,7e-05,0,16
12029,12569,6.91e-05,0,16
12569,13131,7.79e-05,0,16
13131,13715,0.0001165,0,16
13715,14321,7.92e-05,0,17
14321,14951,8.51e-05,0,17
14951,15605,0.0001253,0,17
15605,16283,9.01e-05,0,17
16283,16986,9.39e-05,0,17
16986,17715,0.0001325,0,17
17715,18471,0.000101,0,17
18471,19254,9.93e-05,0,17
19254,20064,0.0001417,0,17
20064,20903,0.0001182,0,17
20903,21770,0.0001062,0,17
21770,22667,0.0001538,0,17
22667,23594,0.0001153,0,17
23594,24551,0.0001865,0,17
24551,25539,0.0001246,0,17
25539,26559,0.0001718,0,17
26559,27611,0.0001293,0,18
27611,28695,0.0001784,0,18
28695,29812,0.0001559,0,18
29812,30963,0.0001922,0,18
30963,32148,0.0001622,0,18
32148,33367,0.0002037,0,18
33367,34620,0.0002037,0,18
34620,35908,0.0001775,0,18
35908,37231,0.0002154,0,18
37231,38590,0.0002203,0,18
38590,39984,0.0002347,0,18
39984,41414,0.0002355,0,18
