lower,upper,duration,action,depth,size,hit,miss
1,5001,0.0009514,0,13,160000,5000,0
5000,0,0.0006006,3,0,0,5000,0
5001,10001,0.0013668,0,16,320000,3333,1667
10000,5000,0.0009177,3,15,160000,5000,0
10001,15001,0.0017029,0,17,480000,0,5000
15000,10000,0.0011744,3,16,320000,5000,0
15001,20001,0.0020411,0,17,640000,3566,1434
20000,15000,0.0015306,3,17,480000,5000,0
20001,25001,0.0022493,0,18,800000,3000,2000
25000,20000,0.0017929,3,17,640000,5000,0
25001,30001,0.0025291,0,18,960000,1,4999
30000,25000,0.0020408,3,18,800000,5000,0
30001,35001,0.0030454,0,18,1120000,5000,0
35000,30000,0.0027936,3,18,960000,5000,0
35001,40001,0.0036003,0,18,1280000,4999,1
40000,35000,0.0026792,3,18,1120000,5000,0
40001,45001,0.0035118,0,19,1440000,4991,9
45000,40000,0.0030207,3,19,1280000,5000,0
45001,50001,0.0036184,0,19,1600000,2501,2499
50000,45000,0.0032666,3,19,1440000,5000,0
50001,55001,0.0041474,0,19,1760000,5000,0
55000,50000,0.0036119,3,19,1600000,5000,0
55001,60001,0.0043297,0,19,1920000,4998,2
60000,55000,0.0039491,3,19,1760000,5000,0
60001,65001,0.0046458,0,19,2080000,3336,1664
65000,60000,0.0042177,3,19,1920000,5000,0
65001,70001,0.0051521,0,20,2240000,2775,2225
70000,65000,0.0046403,3,20,2080000,5000,0
70001,75001,0.0051987,0,20,2399968,4910,90
74999,69999,0.0048144,3,20,2239968,5000,0
75001,80001,0.0054892,0,20,2560000,4991,9
80000,75000,0.0051557,3,20,2400000,5000,0
80001,85001,0.0059479,0,20,2720000,0,5000
85000,80000,0.0053202,3,20,2560000,5000,0
85001,90001,0.006269,0,20,2880000,4998,2
90000,85000,0.0057842,3,20,2720000,5000,0
90001,95001,0.0071151,0,20,3040000,4332,668
95000,90000,0.0081666,3,20,2880000,5000,0
95001,100001,0.0071384,0,20,3200000,0,5000
100000,95000,0.0064271,3,20,3040000,5000,0
100001,105001,0.0074668,0,20,3360000,3370,1630
105000,100000,0.0104008,3,20,3200000,5000,0
105001,110001,0.0085151,0,21,3520000,3336,1664
110000,105000,0.0084206,3,20,3360000,5000,0
110001,115001,0.0079487,0,20,3680000,6,4994
115000,110000,0.0108222,3,20,3520000,5000,0
115001,120001,0.0096214,0,21,3840000,625,4375
120000,115000,0.0097269,3,21,3680000,5000,0
120001,125001,0.0092485,0,21,3999968,678,4322
124999,119999,0.0120239,3,21,3839968,5000,0
125001,130001,0.0109269,0,21,4160000,3333,1667
130000,125000,0.0149684,3,21,4000000,5000,0
130001,135001,0.0110042,0,21,4320000,4997,3
135000,130000,0.0131445,3,21,4160000,5000,0
135001,140001,0.0125013,0,21,4479968,4767,233
139999,134999,0.0139783,3,21,4319968,5000,0
140001,145001,0.0146091,0,21,4640000,2778,2222
145000,140000,0.0188276,3,21,4480000,5000,0
145001,150001,0.0151056,0,21,4800000,4997,3
150000,145000,0.0175396,3,21,4640000,5000,0
150001,155001,0.015435,0,21,4959968,3529,1471
154999,149999,0.0199462,3,21,4799968,5000,0
155001,160001,0.0194558,0,21,5120000,4957,43
160000,155000,0.0204605,3,21,4960000,5000,0
160001,165001,0.0180244,0,21,5280000,147,4853
165000,160000,0.0214122,3,21,5120000,5000,0
165001,170001,0.0200445,0,21,5440000,4996,4
170000,165000,0.0277656,3,21,5280000,5000,0
170001,175001,0.0263603,0,21,5600000,4997,3
175000,170000,0.0271181,3,21,5440000,5000,0
175001,180001,0.0205829,0,21,5760000,5000,0
180000,175000,0.0269051,3,21,5600000,5000,0
180001,185001,0.023601,0,21,5920000,3479,1521
185000,180000,0.0258961,3,21,5760000,5000,0
185001,190001,0.023575,0,22,6080000,5000,0
190000,185000,0.0280471,3,22,5920000,5000,0
190001,195001,0.030084,0,22,6240000,0,5000
195000,190000,0.0290185,3,22,6080000,5000,0
195001,200001,0.0255581,0,22,6400000,2858,2142
200000,195000,0.029386,3,22,6240000,5000,0
200001,205001,0.0282064,0,22,6560000,4997,3
205000,200000,0.0301246,3,22,6400000,5000,0
205001,210001,0.0275941,0,22,6719968,4494,506
209999,204999,0.0317856,3,22,6559968,5000,0
210001,215001,0.0300764,0,22,6879968,4807,193
214999,209999,0.0323155,3,22,6719968,5000,0
215001,220001,0.0297894,0,22,7039968,4910,90
219999,214999,0.0358834,3,22,6879968,5000,0
220001,225001,0.0306616,0,22,7200000,5000,0
225000,220000,0.0338727,3,22,7040000,5000,0
225001,230001,0.0345863,0,22,7360000,5000,0
230000,225000,0.0372695,3,22,7200000,5000,0
230001,235001,0.0335638,0,22,7519968,1913,3087
234999,229999,0.035555,3,22,7359968,5000,0
235001,240001,0.0330641,0,22,7680000,2500,2500
240000,235000,0.0368527,3,22,7520000,5000,0
240001,245001,0.0339494,0,22,7840000,2500,2500
245000,240000,0.0402965,3,22,7680000,5000,0
245001,250001,0.0420925,0,22,7999968,4607,393
249999,244999,0.0429557,3,22,7839968,5000,0
250001,255001,0.0378416,0,22,8160000,2501,2499
255000,250000,0.0400487,3,22,8000000,5000,0
255001,260001,0.0382019,0,22,8320000,1,4999
260000,255000,0.0421045,3,22,8160000,5000,0
260001,265001,0.0470082,0,22,8480000,2,4998
265000,260000,0.0426133,3,22,8320000,5000,0
265001,270001,0.0399732,0,22,8640000,2593,2407
270000,265000,0.0448628,3,22,8480000,5000,0
270001,275001,0.043011,0,22,8799968,3108,1892
274999,269999,0.0458478,3,22,8639968,5000,0
275001,280001,0.045695,0,22,8960000,1021,3979
280000,275000,0.0480238,3,22,8800000,5000,0
280001,285001,0.0445982,0,22,9119968,3099,1901
284999,279999,0.0474791,3,22,8959968,5000,0
285001,290001,0.0452882,0,22,9279936,1865,3135
