lower,upper,duration,action,depth,size,hit,miss
1,5001,0.000885,0,0,79984,5000,0
5000,0,0.0003324,3,0,18446744073709551600,5000,0
5001,10001,0.0013185,0,0,159984,5000,0
10000,5000,0.0007356,3,0,79984,5000,0
10001,15001,0.0023108,0,0,239984,5000,0
15000,10000,0.0013078,3,0,159984,5000,0
15001,20001,0.0022634,0,0,319984,5000,0
20000,15000,0.0016732,3,0,239984,5000,0
20001,25001,0.0025406,0,0,399984,5000,0
25000,20000,0.0021118,3,0,319984,5000,0
25001,30001,0.00301,0,0,479984,5000,0
30000,25000,0.0025672,3,0,399984,5000,0
30001,35001,0.0038899,0,0,559984,5000,0
35000,30000,0.0045838,3,0,479984,5000,0
35001,40001,0.011437,0,0,639984,5000,0
40000,35000,0.0080999,3,0,559984,5000,0
40001,45001,0.006968,0,0,719984,5000,0
45000,40000,0.0054171,3,0,639984,5000,0
45001,50001,0.0052325,0,0,799984,5000,0
50000,45000,0.0051688,3,0,719984,5000,0
50001,55001,0.0087593,0,0,879984,5000,0
55000,50000,0.012166,3,0,799984,5000,0
55001,60001,0.0088439,0,0,959984,5000,0
60000,55000,0.0116336,3,0,879984,5000,0
60001,65001,0.0159041,0,0,1039984,5000,0
65000,60000,0.011798,3,0,959984,5000,0
65001,70001,0.0140705,0,0,1119984,5000,0
70000,65000,0.0113823,3,0,1039984,5000,0
70001,75001,0.0127883,0,0,1199968,4999,1
74999,69999,0.0226893,3,0,1119968,5000,0
75001,80001,0.0172973,0,0,1279984,5000,0
80000,75000,0.0117575,3,0,1199984,5000,0
80001,85001,0.0185807,0,0,1359984,5000,0
85000,80000,0.0173405,3,0,1279984,5000,0
85001,90001,0.0190035,0,0,1439984,5000,0
90000,85000,0.0182057,3,0,1359984,5000,0
90001,95001,0.016084,0,0,1519984,5000,0
95000,90000,0.0160426,3,0,1439984,5000,0
95001,100001,0.0205283,0,0,1599984,5000,0
100000,95000,0.017309,3,0,1519984,5000,0
100001,105001,0.0201207,0,0,1679984,5000,0
105000,100000,0.0153544,3,0,1599984,5000,0
105001,110001,0.0144078,0,0,1759984,5000,0
110000,105000,0.0204343,3,0,1679984,5000,0
110001,115001,0.017987,0,0,1839984,5000,0
115000,110000,0.0192121,3,0,1759984,5000,0
115001,120001,0.0220166,0,0,1919984,5000,0
120000,115000,0.0255376,3,0,1839984,5000,0
120001,125001,0.0226222,0,0,1999968,4999,1
124999,119999,0.0226047,3,0,1919968,5000,0
125001,130001,0.0231259,0,0,2079984,5000,0
130000,125000,0.0237375,3,0,1999984,5000,0
130001,135001,0.0256315,0,0,2159984,5000,0
135000,130000,0.0259092,3,0,2079984,5000,0
135001,140001,0.0259882,0,0,2239968,4999,1
139999,134999,0.0252764,3,0,2159968,5000,0
140001,145001,0.0269696,0,0,2319984,5000,0
145000,140000,0.0259693,3,0,2239984,5000,0
145001,150001,0.0276458,0,0,2399984,5000,0
150000,145000,0.0270744,3,0,2319984,5000,0
150001,155001,0.0290778,0,0,2479968,4999,1
154999,149999,0.0305807,3,0,2399968,5000,0
155001,160001,0.0303957,0,0,2559984,5000,0
160000,155000,0.0301405,3,0,2479984,5000,0
160001,165001,0.0309143,0,0,2639984,5000,0
165000,160000,0.0303892,3,0,2559984,5000,0
165001,170001,0.0319673,0,0,2719984,5000,0
170000,165000,0.031242,3,0,2639984,5000,0
170001,175001,0.0324185,0,0,2799984,5000,0
175000,170000,0.031752,3,0,2719984,5000,0
175001,180001,0.0327741,0,0,2879984,5000,0
180000,175000,0.0357942,3,0,2799984,5000,0
180001,185001,0.0361996,0,0,2959984,5000,0
185000,180000,0.0340192,3,0,2879984,5000,0
185001,190001,0.0350325,0,0,3039984,5000,0
190000,185000,0.0348997,3,0,2959984,5000,0
190001,195001,0.0355064,0,0,3119984,5000,0
195000,190000,0.0345618,3,0,3039984,5000,0
