lower,upper,duration,action,depth
0,49,1.66e-05,0,6
49,101,2.18e-05,0,7
101,155,2.2e-05,0,9
155,212,2.31e-05,0,9
212,272,2.31e-05,0,10
272,335,3.24e-05,0,10
335,401,2.54e-05,0,11
401,470,2.85e-05,0,11
470,543,3.01e-05,0,11
543,620,3.02e-05,0,11
620,700,3.64e-05,0,11
700,784,2.89e-05,0,11
784,873,3.95e-05,0,12
873,966,4.11e-05,0,12
966,1064,3.41e-05,0,12
1064,1166,4.25e-05,0,12
1166,1274,3.7e-05,0,12
1274,1387,4.43e-05,0,12
1387,1506,4.15e-05,0,12
1506,1630,5.12e-05,0,13
1630,1761,4.76e-05,0,13
1761,1898,6.17e-05,0,13
1898,2042,5.15e-05,0,13
2042,2193,5.44e-05,0,13
2193,2352,7.46e-05,0,14
2352,2519,6.54e-05,0,14
2519,2694,6.92e-05,0,14
2694,2878,7.95e-05,0,14
2878,3071,7.06e-05,0,14
3071,3273,9.22e-05,0,14
3273,3485,7.77e-05,0,14
3485,3708,0.0001008,0,14
3708,3942,8.86e-05,0,14
3942,4187,9.67e-05,0,14
4187,4445,9.97e-05,0,14
4445,4715,0.0001207,0,14
4715,4999,0.0001028,0,15
4999,5297,0.0001152,0,15
5297,5609,0.0001405,0,15
5609,5937,0.0001228,0,15
5937,6281,0.0001365,0,15
6281,6642,0.0001514,0,15
6642,7021,0.0001454,0,16
7021,7418,0.0001911,0,16
7418,7835,0.0001627,0,16
7835,8272,0.0001779,0,16
8272,8731,0.0001826,0,16
8731,9212,0.000224,0,16
9212,9717,0.0001975,0,16
9717,10247,0.0002202,0,16
10247,10803,0.0002255,0,16
10803,11386,0.0002874,0,16
11386,11997,0.0002607,0,16
11997,12638,0.000291,0,17
12638,13310,0.0003254,0,17
13310,14015,0.0002921,0,17
14015,14754,0.0003858,0,17
14754,15529,0.0003202,0,17
15529,16342,0.0003239,0,17
16342,17194,0.0003986,0,17
17194,18087,0.0003552,0,17
18087,19023,0.0003933,0,17
19023,20004,0.0004338,0,17
20004,21032,0.0004365,0,17
21032,22109,0.0004392,0,17
22109,23238,0.0004832,0,17
23238,24421,0.0005005,0,18
24421,25660,0.0004945,0,18
25660,26958,0.0005471,0,18
26958,28317,0.0005743,0,18
28317,29741,0.0006252,0,18
29741,31232,0.0005783,0,18
31232,32793,0.0006441,0,18
32793,34427,0.0007482,0,18
34427,36137,0.0007428,0,18
36137,37927,0.0007968,0,18
37927,39800,0.0008221,0,18
39800,41760,0.000911,0,18
41760,43810,0.0008915,0,18
43810,45954,0.0009107,0,19
45954,48196,0.0010139,0,19
48196,50540,0.0010662,0,19
50540,52990,0.001067,0,19
52990,55551,0.0011082,0,19
55551,58227,0.0012332,0,19
58227,61022,0.0012055,0,19
61022,63941,0.0013115,0,19
63941,66990,0.0013759,0,19
66990,70173,0.0014901,0,19
70173,73495,0.0014641,0,19
73495,76961,0.0016103,0,19
76961,80577,0.0016921,0,19
80577,84348,0.0015966,0,19
84348,88279,0.0016389,0,19
88279,92377,0.0017513,0,19
92377,96647,0.0019156,0,19
96647,101095,0.0020243,0,19
101095,105726,0.0020511,0,20
105726,110547,0.00239,0,20
110547,115564,0.0022671,0,20
115564,120783,0.0024103,0,20
120783,126211,0.0023783,0,20
126211,131853,0.002551,0,20
131853,137716,0.0027022,0,21
137716,143806,0.002824,0,21
143806,150130,0.003052,0,21
150130,156694,0.0030161,0,21
156694,163504,0.0031303,0,21
163504,170567,0.003359,0,21
170567,177889,0.0034545,0,21
177889,185476,0.003857,0,21
185476,193334,0.0039275,0,21
193334,201469,0.0037178,0,21
201469,209887,0.0038559,0,21
209887,218594,0.0039331,0,21
218594,227596,0.00432,0,21
227596,236899,0.0042915,0,21
236899,246507,0.0045578,0,21
246507,256427,0.0044256,0,21
256427,266663,0.0047299,0,21
266663,277220,0.0050434,0,22
277220,288103,0.0053028,0,22
288103,299316,0.0057195,0,22
299316,310863,0.0058548,0,22
310863,322749,0.0054019,0,22
322749,334977,0.005788,0,22
334977,347551,0.005993,0,22
347551,360474,0.0059264,0,22
360474,373749,0.0059486,0,22
373749,387378,0.006343,0,22
387378,401364,0.0065177,0,22
401364,415709,0.0068114,0,22
415709,430415,0.0069754,0,22
430415,445484,0.006927,0,23
445484,460917,0.0070861,0,23
460917,476715,0.0071499,0,23
476715,492878,0.0075798,0,23
492878,509408,0.0082733,0,23
509408,526304,0.0083301,0,23
526304,543566,0.0086343,0,23
543566,561194,0.0083734,0,23
561194,579187,0.008278,0,23
579187,597545,0.0090843,0,23
597545,616266,0.0094788,0,23
616266,635349,0.0096856,0,23
635349,654793,0.0099992,0,23
654793,674595,0.0094307,0,23
674595,694754,0.0104807,0,23
694754,715268,0.0097787,0,23
715268,736135,0.0101832,0,23
736135,757351,0.0100829,0,23
757351,778915,0.0103026,0,23
778915,800823,0.0105536,0,23
800823,823073,0.0105612,0,23
823073,845661,0.0106791,0,23
845661,868585,0.0113634,0,23
868585,891841,0.0110869,0,23
891841,915425,0.012173,0,23
915425,939334,0.0123202,0,23
939334,963565,0.011777,0,23
963565,988114,0.011826,0,23
988114,1012977,0.0120074,0,23
1012977,1038150,0.0128668,0,23
1038150,1063629,0.0124053,0,24
1063629,1080108,0.0101903,0,24
1080108,1106189,0.0123965,0,24
1106189,1132565,0.01265,0,24
1132565,1159231,0.0139198,0,24
1159231,1186184,0.0134915,0,24
1186184,1213420,0.0132647,0,24
1213420,1240935,0.0132354,0,24
1240935,1268724,0.0135796,0,24
1268724,1296784,0.0153242,0,24
1296784,1325111,0.0135941,0,24
1325111,1353701,0.014792,0,24
1353701,1382550,0.0139008,0,24
1382550,1411654,0.0147043,0,24
1411654,1441009,0.014298,0,24
1441009,1470611,0.0141289,0,24
1470611,1500457,0.0147299,0,24
1500457,1530542,0.0150129,0,24
1530542,1560863,0.0157955,0,24
1560863,1591416,0.0146986,0,24
1591416,1622197,0.0151162,0,24
1622197,1653203,0.015273,0,24
1653203,1684430,0.0157427,0,24
1684430,1715875,0.0164053,0,24
1715875,1747534,0.0153415,0,24
1747534,1779403,0.0168814,0,24
1779403,1811479,0.0155239,0,25
1811479,1843759,0.0152864,0,25
1843759,1876240,0.0160065,0,25
1876240,1908918,0.0157886,0,25
1908918,1941790,0.0163677,0,25
1941790,1974852,0.0173193,0,25
1974852,2008102,0.0166875,0,25
2008102,2041536,0.01743,0,25
2041536,2075152,0.0177358,0,25
2075152,2108946,0.0171203,0,25
2108946,2142916,0.0168966,0,25
2142916,2177059,0.0164665,0,25
2177059,2211372,0.0174327,0,25
2211372,2245852,0.0180291,0,25
2245852,2280496,0.0184599,0,25
2280496,2315302,0.017753,0,25
2315302,2350267,0.0176971,0,25
2350267,2385388,0.017755,0,25
2385388,2420663,0.0174902,0,25
2420663,2456089,0.0175864,0,25
2456089,2491664,0.0184733,0,25
2491664,2527386,0.0176315,0,25
2527386,2563252,0.0191042,0,25
2563252,2599260,0.0185969,0,25
2599260,2635407,0.0188372,0,25
2635407,2671692,0.0173762,0,25
2671692,2708112,0.0187583,0,25
2708112,2744665,0.0187639,0,25
2744665,2781349,0.0189543,0,25
2781349,2818162,0.0180628,0,25
2818162,2855101,0.0187114,0,26
2855101,2892165,0.0200057,0,26
2892165,2929352,0.019177,0,26
2929352,2966660,0.0195973,0,26
2966660,3004087,0.0193001,0,26
3004087,3041631,0.0184509,0,26
3041631,3079291,0.0199153,0,26
3079291,3117064,0.019893,0,26
3117064,3154949,0.0197204,0,26
3154949,3192944,0.0189648,0,26
3192944,3231048,0.0206052,0,26
3231048,3269259,0.0192204,0,26
3269259,3307575,0.0197378,0,26
3307575,3345995,0.0203925,0,26
3345995,3384517,0.0206029,0,26
3384517,3423139,0.0201535,0,26
3423139,3461861,0.0209596,0,26
3461861,3500680,0.0192155,0,26
3500680,3539595,0.0207791,0,26
3539595,3578605,0.0209782,0,26
3578605,3617709,0.0195964,0,26
3617709,3656905,0.020285,0,26
3656905,3696191,0.0224598,0,26
3696191,3735567,0.0204591,0,26
3735567,3775031,0.0199184,0,26
3775031,3814582,0.0203889,0,26
3814582,3854219,0.0207367,0,26
3854219,3893940,0.0206283,0,26
3893940,3933744,0.0202877,0,26
3933744,3973630,0.0206435,0,26
3973630,4013597,0.0209277,0,26
4013597,4053644,0.0205883,0,26
4053644,4093770,0.0204609,0,26
4093770,4133973,0.0200633,0,26
4133973,4174253,0.0213113,0,26
4174253,4214608,0.0205568,0,26
4214608,4255038,0.0221743,0,26
4255038,4295541,0.021079,0,26
4295541,4336117,0.0216166,0,26
4336117,4376764,0.0217843,0,26
4376764,4417482,0.021309,0,26
4417482,4458270,0.0215054,0,26
4458270,4499126,0.0208532,0,26
4499126,4540050,0.0224778,0,26
4540050,4581041,0.0204524,0,26
4581041,4622098,0.0230701,0,26
4622098,4663220,0.0221904,0,26
4663220,4704407,0.0220917,0,26
4704407,4745657,0.0215813,0,26
4745657,4786970,0.021259,0,26
4786970,4828345,0.021122,0,26
4828345,4869781,0.0215911,0,26
4869781,4911277,0.021501,0,26
4911277,4952833,0.0224362,0,26
4952833,4994448,0.022081,0,26
0,49,1.32e-05,1,6
49,101,1.55e-05,1,7
101,155,1.63e-05,1,8
155,212,1.75e-05,1,8
212,272,7.74e-05,1,9
272,335,2.14e-05,1,9
335,401,2.16e-05,1,9
401,470,2.23e-05,1,9
470,543,2.44e-05,1,10
543,620,2.74e-05,1,10
620,700,2.79e-05,1,10
700,784,2.99e-05,1,10
784,873,3.11e-05,1,10
873,966,3.22e-05,1,10
966,1064,3.74e-05,1,11
1064,1166,3.76e-05,1,11
1166,1274,3.89e-05,1,11
1274,1387,4.15e-05,1,11
1387,1506,4.31e-05,1,11
1506,1630,4.64e-05,1,11
1630,1761,4.74e-05,1,11
1761,1898,4.98e-05,1,11
1898,2042,5.2e-05,1,11
2042,2193,0.0001078,1,12
2193,2352,5.9e-05,1,12
2352,2519,6.23e-05,1,12
2519,2694,6.53e-05,1,12
2694,2878,6.83e-05,1,12
2878,3071,7.23e-05,1,12
3071,3273,7.55e-05,1,12
3273,3485,7.87e-05,1,12
3485,3708,8.54e-05,1,12
3708,3942,8.72e-05,1,12
3942,4187,0.000145,1,13
4187,4445,0.0001001,1,13
4445,4715,0.0001044,1,13
4715,4999,0.0001099,1,13
4999,5297,0.0001159,1,13
5297,5609,0.0001204,1,13
5609,5937,0.0001775,1,13
5937,6281,0.0001329,1,13
6281,6642,0.0001391,1,13
6642,7021,0.0001452,1,13
7021,7418,0.0001558,1,13
7418,7835,0.0002122,1,13
7835,8272,0.0001699,1,14
8272,8731,0.0001891,1,14
8731,9212,0.0001916,1,14
9212,9717,0.0002525,1,14
9717,10247,0.0002115,1,14
10247,10803,0.0002336,1,14
10803,11386,0.0002967,1,14
11386,11997,0.0003904,1,14
11997,12638,0.0002546,1,14
12638,13310,0.0002648,1,14
13310,14015,0.0003359,1,14
14015,14754,0.000289,1,14
14754,15529,0.0003608,1,14
15529,16342,0.0003152,1,14
16342,17194,0.0004032,1,15
17194,18087,0.0003649,1,15
18087,19023,0.0004472,1,15
19023,20004,0.0003851,1,15
20004,21032,0.0004491,1,15
21032,22109,0.0004433,1,15
22109,23238,0.0005074,1,15
23238,24421,0.0004849,1,15
24421,25660,0.0005503,1,15
25660,26958,0.0005759,1,15
26958,28317,0.0005491,1,15
28317,29741,0.0006081,1,15
29741,31232,0.0006479,1,15
31232,32793,0.0006798,1,16
32793,34427,0.0007404,1,16
34427,36137,0.0007876,1,16
36137,37927,0.0008058,1,16
37927,39800,0.0008446,1,16
39800,41760,0.0008872,1,16
41760,43810,0.0009256,1,16
43810,45954,0.0009878,1,16
45954,48196,0.0010041,1,16
48196,50540,0.0010466,1,16
50540,52990,0.0011477,1,16
52990,55551,0.0011425,1,16
55551,58227,0.0011511,1,16
58227,61022,0.0012707,1,16
61022,63941,0.0012982,1,16
63941,66990,0.0013836,1,17
66990,70173,0.0015049,1,17
70173,73495,0.0015559,1,17
73495,76961,0.0015705,1,17
76961,80577,0.0016897,1,17
80577,84348,0.0017885,1,17
84348,88279,0.0018926,1,17
88279,92377,0.0019062,1,17
92377,96647,0.0019614,1,17
96647,101095,0.0020525,1,17
101095,105726,0.0022056,1,17
105726,110547,0.0022252,1,17
110547,115564,0.0023792,1,17
115564,120783,0.0024412,1,17
120783,126211,0.0025314,1,17
126211,131853,0.0025832,1,18
131853,137716,0.0027712,1,18
137716,143806,0.0029121,1,18
143806,150130,0.0031141,1,18
150130,156694,0.0031252,1,18
156694,163504,0.0033159,1,18
163504,170567,0.0033522,1,18
170567,177889,0.0035632,1,18
177889,185476,0.0036414,1,18
185476,193334,0.0038487,1,18
193334,201469,0.003911,1,18
201469,209887,0.0040138,1,18
209887,218594,0.0041935,1,18
218594,227596,0.0042598,1,18
227596,236899,0.00446,1,18
236899,246507,0.0046376,1,18
246507,256427,0.0047483,1,18
256427,266663,0.0049994,1,19
266663,277220,0.0051357,1,19
277220,288103,0.0053478,1,19
288103,299316,0.0055416,1,19
299316,310863,0.0056623,1,19
310863,322749,0.005864,1,19
322749,334977,0.0059806,1,19
334977,347551,0.0061392,1,19
347551,360474,0.0063178,1,19
360474,373749,0.006463,1,19
373749,387378,0.0065792,1,19
387378,401364,0.0069273,1,19
401364,415709,0.0069191,1,19
415709,430415,0.0071592,1,19
430415,445484,0.0074922,1,19
445484,460917,0.007412,1,19
460917,476715,0.0075459,1,19
476715,492878,0.007729,1,19
492878,509408,0.0078607,1,19
509408,526304,0.0081694,1,20
526304,543566,0.0087184,1,20
543566,561194,0.0086779,1,20
561194,579187,0.0088538,1,20
579187,597545,0.0090351,1,20
597545,616266,0.0091688,1,20
616266,635349,0.0094892,1,20
635349,654793,0.0095724,1,20
654793,674595,0.0099097,1,20
674595,694754,0.0100257,1,20
694754,715268,0.0102032,1,20
715268,736135,0.0103866,1,20
736135,757351,0.0105558,1,20
757351,778915,0.0107029,1,20
778915,800823,0.0109472,1,20
800823,823073,0.0111218,1,20
823073,845661,0.0112613,1,20
845661,868585,0.0114074,1,20
868585,891841,0.0115229,1,20
891841,915425,0.0116182,1,20
915425,939334,0.0119046,1,20
939334,963565,0.0119609,1,20
963565,988114,0.0121409,1,20
988114,1012977,0.0122477,1,20
1012977,1038150,0.0125188,1,20
1038150,1063629,0.0128341,1,21
1063629,1089411,0.0129986,1,21
1089411,1115492,0.0131239,1,21
1115492,1141868,0.0131104,1,21
1141868,1168534,0.0134785,1,21
1168534,1195487,0.0135888,1,21
1195487,1222723,0.0138268,1,21
1222723,1250238,0.0142647,1,21
1250238,1278027,0.0141364,1,21
1278027,1306087,0.0141421,1,21
1306087,1334414,0.0142124,1,21
1334414,1363004,0.0143506,1,21
1363004,1391853,0.0145076,1,21
1391853,1420957,0.0146762,1,21
1420957,1450312,0.0148195,1,21
1450312,1479914,0.0147883,1,21
1479914,1509760,0.014733,1,21
1509760,1539845,0.0150141,1,21
1539845,1570166,0.0150476,1,21
1570166,1600719,0.0152799,1,21
1600719,1631500,0.0154063,1,21
1631500,1662506,0.0155621,1,21
1662506,1693733,0.0157073,1,21
1693733,1725178,0.0158171,1,21
1725178,1756837,0.0159835,1,21
1756837,1788706,0.0159701,1,21
1788706,1820782,0.0162366,1,21
1820782,1853062,0.0162928,1,21
1853062,1885543,0.0163931,1,21
1885543,1918221,0.0165616,1,21
1918221,1951093,0.0166015,1,21
1951093,1984155,0.0166391,1,21
1984155,2017405,0.0168499,1,21
2017405,2050839,0.016914,1,21
2050839,2084455,0.0169216,1,21
2084455,2118249,0.0175822,1,22
2118249,2152219,0.0177769,1,22
2152219,2186362,0.0177624,1,22
2186362,2220675,0.017765,1,22
2220675,2255155,0.0178644,1,22
2255155,2289799,0.0179955,1,22
2289799,2324605,0.0183526,1,22
