lower,upper,duration,action,depth,size,hit,miss
1, 50001, 0.0343866, 0, 16, 800000, 50000, 0
50000, 0, 0.0176735, 3, 0, 0, 50000, 0
50001, 100001, 0.0521283, 0, 20, 1600000, 49976, 24
100000, 50000, 0.0340356, 3, 19, 800000, 50000, 0
100001, 150001, 0.0660744, 0, 21, 2399968, 27518, 22482
149998, 99998, 0.0517195, 3, 20, 1599968, 50000, 0
150001, 200001, 0.0844283, 0, 21, 3199984, 28953, 21047
199999, 149999, 0.0741192, 3, 21, 2399984, 50000, 0
200001, 250001, 0.103859, 0, 22, 3999968, 27477, 22523
249998, 199998, 0.0863165, 3, 22, 3199968, 50000, 0
250001, 300001, 0.120599, 0, 22, 4799952, 26725, 23275
299997, 249997, 0.103933, 3, 22, 3999952, 50000, 0
300001, 350001, 0.141892, 0, 23, 5599920, 25966, 24034
349995, 299995, 0.120211, 3, 22, 4799920, 50000, 0
350001, 400001, 0.157198, 0, 23, 6399904, 32965, 17035
399994, 349994, 0.141012, 3, 23, 5599904, 50000, 0
400001, 450001, 0.174157, 0, 23, 7199952, 14236, 35764
449997, 399997, 0.162943, 3, 23, 6399952, 50000, 0
450001, 500001, 0.191759, 0, 23, 7999904, 21455, 28545
499994, 449994, 0.180004, 3, 23, 7199904, 50000, 0
500001, 550001, 0.211164, 0, 23, 8799952, 35138, 14862
549997, 499997, 0.198402, 3, 23, 7999952, 50000, 0
550001, 600001, 0.23221, 0, 23, 9599904, 33876, 16124
599994, 549994, 0.214316, 3, 23, 8799904, 50000, 0
600001, 650001, 0.250349, 0, 24, 10399856, 24157, 25843
649991, 599991, 0.234098, 3, 24, 9599856, 50000, 0
650001, 700001, 0.26715, 0, 24, 11199792, 23742, 26258
699987, 649987, 0.253503, 3, 24, 10399792, 50000, 0
700001, 750001, 0.286103, 0, 24, 11999872, 35112, 14888
749992, 699992, 0.269883, 3, 24, 11199872, 50000, 0
750001, 800001, 0.308696, 0, 24, 12799888, 21401, 28599
799993, 749993, 0.28621, 3, 24, 11999888, 50000, 0
800001, 850001, 0.324146, 0, 24, 13599872, 39131, 10869
849992, 799992, 0.305832, 3, 24, 12799872, 50000, 0
850001, 900001, 0.348704, 0, 24, 14399824, 27817, 22183
899989, 849989, 0.328226, 3, 24, 13599824, 50000, 0
900001, 950001, 0.362788, 0, 24, 15199824, 39764, 10236
949989, 899989, 0.346731, 3, 24, 14399824, 50000, 0
950001, 1000001, 0.384823, 0, 25, 15999792, 30753, 19247
999987, 949987, 0.365956, 3, 25, 15199792, 50000, 0
1000001, 1050001, 0.399747, 0, 25, 16799728, 32447, 17553
