lower,upper,duration,action,depth,size,hit,miss
1, 50001, 0.0790102, 0, 0, 399992, 50000, 0
50000, 0, 0.141117, 3, 0, 4294967288, 50000, 0
50001, 100001, 0.112577, 0, 0, 799992, 50000, 0
100000, 50000, 0.164636, 3, 0, 399992, 50000, 0
100001, 150001, 0.136612, 0, 0, 1199976, 49998, 2
149998, 99998, 0.189361, 3, 0, 799976, 50000, 0
150001, 200001, 0.16261, 0, 0, 1599984, 49999, 1
199999, 149999, 0.214772, 3, 0, 1199984, 50000, 0
200001, 250001, 0.19268, 0, 0, 1999976, 49998, 2
249998, 199998, 0.241413, 3, 0, 1599976, 50000, 0
250001, 300001, 0.221185, 0, 0, 2399968, 49997, 3
299997, 249997, 0.272474, 3, 0, 1999968, 50000, 0
300001, 350001, 0.250969, 0, 0, 2799952, 49995, 5
349995, 299995, 0.293268, 3, 0, 2399952, 50000, 0
350001, 400001, 0.2735, 0, 0, 3199944, 49994, 6
399994, 349994, 0.322918, 3, 0, 2799944, 50000, 0
400001, 450001, 0.299932, 0, 0, 3599968, 49997, 3
449997, 399997, 0.348936, 3, 0, 3199968, 50000, 0
450001, 500001, 0.325834, 0, 0, 3999944, 49994, 6
499994, 449994, 0.379124, 3, 0, 3599944, 50000, 0
500001, 550001, 0.358606, 0, 0, 4399968, 49997, 3
549997, 499997, 0.403707, 3, 0, 3999968, 50000, 0
550001, 600001, 0.389448, 0, 0, 4799944, 49994, 6
599994, 549994, 0.433728, 3, 0, 4399944, 50000, 0
600001, 650001, 0.419429, 0, 0, 5199920, 49991, 9
649991, 599991, 0.459366, 3, 0, 4799920, 50000, 0
650001, 700001, 0.448519, 0, 0, 5599888, 49987, 13
699987, 649987, 0.48639, 3, 0, 5199888, 50000, 0
700001, 750001, 0.471635, 0, 0, 5999928, 49992, 8
749992, 699992, 0.511436, 3, 0, 5599928, 50000, 0
750001, 800001, 0.499797, 0, 0, 6399936, 49993, 7
799993, 749993, 0.542075, 3, 0, 5999936, 50000, 0
800001, 850001, 0.52434, 0, 0, 6799928, 49992, 8
849992, 799992, 0.573574, 3, 0, 6399928, 50000, 0
850001, 900001, 0.551608, 0, 0, 7199904, 49989, 11
899989, 849989, 0.593684, 3, 0, 6799904, 50000, 0
900001, 950001, 0.577075, 0, 0, 7599904, 49989, 11
949989, 899989, 0.626297, 3, 0, 7199904, 50000, 0
950001, 1000001, 0.609289, 0, 0, 7999888, 49987, 13
999987, 949987, 0.654098, 3, 0, 7599888, 50000, 0
1000001, 1050001, 0.634083, 0, 0, 8399856, 49983, 17
1049983, 999983, 0.68021, 3, 0, 7999856, 50000, 0
1050001, 1100001, 0.663711, 0, 0, 8799904, 49989, 11
1099989, 1049989, 0.705847, 3, 0, 8399904, 50000, 0
1100001, 1150001, 0.684315, 0, 0, 9199872, 49985, 15
1149985, 1099985, 0.742786, 3, 0, 8799872, 50000, 0
1150001, 1200001, 0.728873, 0, 0, 9599920, 49991, 9
1199991, 1149991, 0.760053, 3, 0, 9199920, 50000, 0
1200001, 1250001, 0.743454, 0, 0, 9999880, 49986, 14
1249986, 1199986, 0.789283, 3, 0, 9599880, 50000, 0
1250001, 1300001, 0.780222, 0, 0, 10399872, 49985, 15
1299985, 1249985, 0.815524, 3, 0, 9999872, 50000, 0
1300001, 1350001, 0.797188, 0, 0, 10799864, 49984, 16
1349984, 1299984, 0.85896, 3, 0, 10399864, 50000, 0
1350001, 1400001, 0.817799, 0, 0, 11199864, 49984, 16
1399984, 1349984, 0.870885, 3, 0, 10799864, 50000, 0
1400001, 1450001, 0.847969, 0, 0, 11599864, 49984, 16
1449984, 1399984, 0.903249, 3, 0, 11199864, 50000, 0
1450001, 1500001, 0.88398, 0, 0, 11999912, 49990, 10
1499990, 1449990, 0.928159, 3, 0, 11599912, 50000, 0
1500001, 1550001, 0.90932, 0, 0, 12399896, 49988, 12
1549988, 1499988, 0.953994, 3, 0, 11999896, 50000, 0
1550001, 1600001, 0.934632, 0, 0, 12799904, 49989, 11
1599989, 1549989, 0.988801, 3, 0, 12399904, 50000, 0
1600001, 1650001, 0.971296, 0, 0, 13199872, 49985, 15
1649985, 1599985, 1.02135, 3, 0, 12799872, 50000, 0
1650001, 1700001, 1.02072, 0, 0, 13599816, 49978, 22
1699978, 1649978, 1.03798, 3, 0, 13199816, 50000, 0
1700001, 1750001, 1.00436, 0, 0, 13999848, 49982, 18
1749982, 1699982, 1.06172, 3, 0, 13599848, 50000, 0
1750001, 1800001, 1.05438, 0, 0, 14399824, 49979, 21
1799979, 1749979, 1.1143, 3, 0, 13999824, 50000, 0
1800001, 1850001, 1.0801, 0, 0, 14799848, 49982, 18
1849982, 1799982, 1.14097, 3, 0, 14399848, 50000, 0
1850001, 1900001, 1.12174, 0, 0, 15199816, 49978, 22
1899978, 1849978, 1.15321, 3, 0, 14799816, 50000, 0
1900001, 1950001, 1.12279, 0, 0, 15599824, 49979, 21
1949979, 1899979, 1.19551, 3, 0, 15199824, 50000, 0
1950001, 2000001, 1.17423, 0, 0, 15999760, 49971, 29
1999971, 1949971, 1.21761, 3, 0, 15599760, 50000, 0
2000001, 2050001, 1.1987, 0, 0, 16399776, 49973, 27
2049973, 1999973, 1.28076, 3, 0, 15999776, 50000, 0
2050001, 2100001, 1.24638, 0, 0, 16799752, 49970, 30
2099970, 2049970, 1.29682, 3, 0, 16399752, 50000, 0
2100001, 2150001, 1.25005, 0, 0, 17199832, 49980, 20
2149980, 2099980, 1.29502, 3, 0, 16799832, 50000, 0
2150001, 2200001, 1.2936, 0, 0, 17599800, 49976, 24
2199976, 2149976, 1.32092, 3, 0, 17199800, 50000, 0
2200001, 2250001, 1.29813, 0, 0, 17999768, 49972, 28
2249972, 2199972, 1.37861, 3, 0, 17599768, 50000, 0
2250001, 2300001, 1.36719, 0, 0, 18399736, 49968, 32
2299968, 2249968, 1.45919, 3, 0, 17999736, 50000, 0
2300001, 2350001, 1.3607, 0, 0, 18799744, 49969, 31
2349969, 2299969, 1.40094, 3, 0, 18399744, 50000, 0
2350001, 2400001, 1.3597, 0, 0, 19199792, 49975, 25
2399975, 2349975, 1.38445, 3, 0, 18799792, 50000, 0
2400001, 2450001, 1.37014, 0, 0, 19599840, 49981, 19
2449981, 2399981, 1.44872, 3, 0, 19199840, 50000, 0
2450001, 2500001, 1.42863, 0, 0, 19999744, 49969, 31
2499969, 2449969, 1.4625, 3, 0, 19599744, 50000, 0
2500001, 2550001, 1.45645, 0, 0, 20399808, 49977, 23
2549977, 2499977, 1.47432, 3, 0, 19999808, 50000, 0
2550001, 2600001, 1.46986, 0, 0, 20799736, 49968, 32
2599968, 2549968, 1.50533, 3, 0, 20399736, 50000, 0
2600001, 2650001, 1.49636, 0, 0, 21199760, 49971, 29
2649971, 2599971, 1.52652, 3, 0, 20799760, 50000, 0
2650001, 2700001, 1.51863, 0, 0, 21599776, 49973, 27
2699973, 2649973, 1.58079, 3, 0, 21199776, 50000, 0
2700001, 2750001, 1.53237, 0, 0, 21999728, 49967, 33
2749967, 2699967, 1.60267, 3, 0, 21599728, 50000, 0
2750001, 2800001, 1.57165, 0, 0, 22399792, 49975, 25
2799975, 2749975, 1.6165, 3, 0, 21999792, 50000, 0
2800001, 2850001, 1.59041, 0, 0, 22799728, 49967, 33
2849967, 2799967, 1.63765, 3, 0, 22399728, 50000, 0
2850001, 2900001, 1.65338, 0, 0, 23199760, 49971, 29
2899971, 2849971, 1.6683, 3, 0, 22799760, 50000, 0
2900001, 2950001, 1.66394, 0, 0, 23599640, 49956, 44
2949956, 2899956, 1.7046, 3, 0, 23199640, 50000, 0
2950001, 3000001, 1.67127, 0, 0, 23999696, 49963, 37
2999963, 2949963, 1.7226, 3, 0, 23599696, 50000, 0
3000001, 3050001, 1.69873, 0, 0, 24399656, 49958, 42
3049958, 2999958, 1.76531, 3, 0, 23999656, 50000, 0
3050001, 3100001, 1.72807, 0, 0, 24799696, 49963, 37
3099963, 3049963, 1.77039, 3, 0, 24399696, 50000, 0
3100001, 3150001, 1.76388, 0, 0, 25199776, 49973, 27
3149973, 3099973, 1.80769, 3, 0, 24799776, 50000, 0
3150001, 3200001, 1.79701, 0, 0, 25599688, 49962, 38
3199962, 3149962, 1.82399, 3, 0, 25199688, 50000, 0
3200001, 3250001, 1.80845, 0, 0, 25999664, 49959, 41
3249959, 3199959, 1.85175, 3, 0, 25599664, 50000, 0
