lower,upper,duration,action,depth
0,49,0.0001267,0,6
49,101,5.8e-06,0,8
101,155,5.1e-06,0,8
155,212,6.3e-06,0,9
212,272,6.1e-06,0,9
272,335,6.7e-06,0,10
335,401,6.5e-06,0,10
401,470,6.7e-06,0,10
470,543,7.2e-06,0,10
543,620,9.2e-06,0,11
620,700,8.3e-06,0,11
700,784,9.3e-06,0,11
784,873,1.32e-05,0,11
873,966,9.6e-06,0,11
966,1064,1.17e-05,0,12
1064,1166,1.19e-05,0,12
1166,1274,1.19e-05,0,12
1274,1387,1.31e-05,0,12
1387,1506,1.27e-05,0,12
1506,1630,1.37e-05,0,12
1630,1761,1.56e-05,0,12
1761,1898,1.5e-05,0,13
1898,2042,1.73e-05,0,13
2042,2193,2.73e-05,0,13
2193,2352,1.86e-05,0,13
2352,2519,1.95e-05,0,13
2519,2694,2.13e-05,0,13
2694,2878,2.1e-05,0,13
2878,3071,2.13e-05,0,14
3071,3273,2.47e-05,0,14
3273,3485,2.62e-05,0,14
3485,3708,2.73e-05,0,14
3708,3942,2.99e-05,0,14
3942,4187,2.85e-05,0,14
4187,4445,3.81e-05,0,14
4445,4715,3.3e-05,0,14
4715,4999,3.5e-05,0,14
4999,5297,3.45e-05,0,14
5297,5609,3.98e-05,0,15
5609,5937,4.13e-05,0,15
5937,6281,4.15e-05,0,15
6281,6642,5.3e-05,0,15
6642,7021,4.58e-05,0,15
7021,7418,4.82e-05,0,15
7418,7835,4.98e-05,0,15
7835,8272,5.17e-05,0,15
8272,8731,6.29e-05,0,15
8731,9212,6.62e-05,0,15
9212,9717,6.34e-05,0,16
9717,10247,6.72e-05,0,16
10247,10803,8.11e-05,0,16
10803,11386,6.95e-05,0,16
11386,11997,7.34e-05,0,16
11997,12638,8.71e-05,0,16
12638,13310,8.69e-05,0,16
13310,14015,9.49e-05,0,16
14015,14754,0.0001116,0,16
14754,15529,0.0001058,0,17
15529,16342,0.0001101,0,17
16342,17194,0.0001261,0,17
17194,18087,0.0001186,0,17
18087,19023,0.0001376,0,17
19023,20004,0.0001337,0,17
20004,21032,0.0001399,0,17
21032,22109,0.000153,0,17
22109,23238,0.0001546,0,17
23238,24421,0.000159,0,17
24421,25660,0.0001796,0,17
25660,26958,0.0001702,0,17
26958,28317,0.0001911,0,17
28317,29741,0.0001933,0,17
29741,31232,0.0001994,0,18
31232,32793,0.0002143,0,18
32793,34427,0.0002256,0,18
34427,36137,0.0002312,0,18
36137,37927,0.0002329,0,18
37927,39800,0.0002384,0,18
39800,41760,0.0002646,0,18
41760,43810,0.0003064,0,18
43810,45954,0.00031,0,18
45954,48196,0.0003098,0,18
48196,50540,0.0003187,0,19
50540,52990,0.0003632,0,19
52990,55551,0.000369,0,19
55551,58227,0.0003677,0,19
58227,61022,0.0004162,0,19
61022,63941,0.0004078,0,19
63941,66990,0.0004115,0,19
66990,70173,0.0004812,0,19
70173,73495,0.0004747,0,19
73495,76961,0.0005159,0,19
76961,80577,0.0005078,0,20
80577,84348,0.0005308,0,20
84348,88279,0.0005656,0,20
88279,92377,0.0005778,0,20
92377,96647,0.0005967,0,20
96647,101095,0.0006256,0,20
101095,105726,0.0006709,0,20
105726,110547,0.0006688,0,20
110547,115564,0.0007014,0,20
115564,120783,0.0007421,0,20
120783,126211,0.0007264,0,20
126211,131853,0.0008632,0,20
131853,137716,0.0009062,0,20
137716,143806,0.0008812,0,20
143806,150130,0.0008972,0,20
150130,156694,0.0009183,0,20
156694,163504,0.001033,0,20
163504,170567,0.0010471,0,21
170567,177889,0.0010876,0,21
177889,185476,0.0011306,0,21
185476,193334,0.0011754,0,21
193334,201469,0.0011876,0,21
201469,209887,0.0012764,0,21
209887,218594,0.0012744,0,21
218594,227596,0.0012695,0,21
227596,236899,0.0014067,0,21
236899,246507,0.0014465,0,21
246507,256427,0.001462,0,21
256427,266663,0.0015208,0,21
266663,277220,0.0015291,0,21
277220,288103,0.0017169,0,22
288103,299316,0.0016863,0,22
299316,310863,0.0017638,0,22
310863,322749,0.0018444,0,22
322749,334977,0.0019,0,22
334977,347551,0.0019558,0,22
347551,360474,0.0019622,0,22
360474,373749,0.00207,0,22
373749,387378,0.0021705,0,22
387378,401364,0.0022138,0,22
401364,415709,0.002271,0,22
415709,430415,0.0022841,0,22
430415,445484,0.0022815,0,22
445484,460917,0.0024863,0,22
460917,476715,0.0024209,0,22
476715,492878,0.0024885,0,22
492878,509408,0.0023888,0,22
509408,526304,0.0025337,0,22
526304,543566,0.0025827,0,22
543566,561194,0.0028081,0,23
561194,579187,0.0029274,0,23
579187,597545,0.0027501,0,23
597545,616266,0.0028361,0,23
616266,635349,0.0029339,0,23
635349,654793,0.0030327,0,23
654793,674595,0.0030443,0,23
674595,694754,0.0032464,0,23
694754,715268,0.0031526,0,23
715268,736135,0.0032838,0,23
736135,757351,0.0032137,0,23
757351,778915,0.0033577,0,23
778915,800823,0.0035378,0,23
800823,823073,0.0035372,0,23
823073,845661,0.0036027,0,23
845661,868585,0.0035165,0,23
868585,891841,0.0037532,0,23
891841,915425,0.0037268,0,23
915425,939334,0.0036553,0,23
939334,963565,0.0038146,0,23
963565,988114,0.0037749,0,23
988114,1012977,0.0039896,0,23
1012977,1038150,0.0038042,0,23
1038150,1063629,0.0038871,0,23
1063629,1080108,0.0031629,0,23
1080108,1106189,0.003965,0,23
1106189,1132565,0.0048974,0,23
1132565,1159231,0.0041314,0,24
1159231,1186184,0.0042385,0,24
1186184,1213420,0.0042103,0,24
1213420,1240935,0.0044421,0,24
1240935,1268724,0.0044185,0,24
1268724,1296784,0.0043392,0,24
1296784,1325111,0.0043854,0,24
1325111,1353701,0.004421,0,24
1353701,1382550,0.0046766,0,24
1382550,1411654,0.0045962,0,24
1411654,1441009,0.0047774,0,24
1441009,1470611,0.0049345,0,24
1470611,1500457,0.0047339,0,24
1500457,1530542,0.0047789,0,24
1530542,1560863,0.0047592,0,24
1560863,1591416,0.0047618,0,24
1591416,1622197,0.0047899,0,24
1622197,1653203,0.0050496,0,24
1653203,1684430,0.0054473,0,24
1684430,1715875,0.0055047,0,24
1715875,1747534,0.0055767,0,24
1747534,1779403,0.0054862,0,24
1779403,1811479,0.0055956,0,25
1811479,1843759,0.005713,0,25
1843759,1876240,0.0055921,0,25
1876240,1908918,0.0059139,0,25
1908918,1941790,0.0061611,0,25
1941790,1974852,0.0060096,0,25
1974852,2008102,0.0058396,0,25
2008102,2041536,0.0058524,0,25
2041536,2075152,0.0057787,0,25
2075152,2108946,0.0061986,0,25
2108946,2142916,0.0062803,0,25
2142916,2177059,0.0060517,0,25
2177059,2211372,0.0067371,0,25
2211372,2245852,0.0061324,0,25
2245852,2280496,0.0063337,0,25
2280496,2315302,0.0064043,0,25
2315302,2350267,0.0063541,0,25
2350267,2385388,0.0062708,0,25
2385388,2420663,0.0065492,0,25
2420663,2456089,0.0065499,0,25
2456089,2491664,0.0064831,0,25
2491664,2527386,0.00668,0,25
2527386,2563252,0.0069856,0,25
2563252,2599260,0.0063223,0,25
2599260,2635407,0.0068731,0,25
2635407,2671692,0.0065346,0,25
2671692,2708112,0.0066806,0,25
2708112,2744665,0.0069091,0,25
2744665,2781349,0.0069293,0,25
