lower,upper,duration,action,depth,size,hit,miss
1,50001,0.0100937,0,16,1600000,50000,0
50000,0,0.0066792,3,0,0,50000,0
50001,100001,0.0156674,0,21,3200000,29293,20707
100000,50000,0.0099979,3,19,1600000,50000,0
100001,150001,0.0215427,0,21,4799936,49267,733
149998,99998,0.0193883,3,21,3199936,50000,0
150001,200001,0.0297327,0,21,6399968,28953,21047
199999,149999,0.031182,3,21,4799968,50000,0
200001,250001,0.0429933,0,22,7999936,26436,23564
249998,199998,0.0387092,3,22,6399936,50000,0
250001,300001,0.0521561,0,22,9599904,2404,47596
299997,249997,0.046803,3,22,7999904,50000,0
300001,350001,0.0631638,0,22,11199840,33263,16737
349995,299995,0.0575907,3,22,9599840,50000,0
350001,400001,0.0786383,0,23,12799808,28414,21586
399994,349994,0.0673594,3,22,11199808,50000,0
400001,450001,0.0860912,0,23,14399904,14236,35764
449997,399997,0.080732,3,23,12799904,50000,0
450001,500001,0.0930935,0,23,15999808,29932,20068
499994,449994,0.0880561,3,23,14399808,50000,0
500001,550001,0.121426,0,23,17599904,29777,20223
549997,499997,0.0979651,3,23,15999904,50000,0
550001,600001,0.116506,0,24,19199808,30389,19611
599994,549994,0.11081,3,24,17599808,50000,0
600001,650001,0.124249,0,24,20799712,19844,30156
649991,599991,0.116939,3,24,19199712,50000,0
650001,700001,0.13447,0,24,22399584,19577,30423
699987,649987,0.127581,3,24,20799584,50000,0
700001,750001,0.143998,0,24,23999744,35452,14548
749992,699992,0.143887,3,24,22399744,50000,0
750001,800001,0.155539,0,24,25599776,27178,22822
799993,749993,0.148644,3,24,23999776,50000,0
800001,850001,0.167666,0,25,27199744,29950,20050
849992,799992,0.158268,3,25,25599744,50000,0
850001,900001,0.178483,0,25,28799648,21532,28468
899989,849989,0.169452,3,25,27199648,50000,0
900001,950001,0.186035,0,25,30399648,39252,10748
949989,899989,0.181203,3,25,28799648,50000,0
950001,1000001,0.196694,0,25,31999584,31099,18901
999987,949987,0.196234,3,25,30399584,50000,0
1000001,1050001,0.207497,0,25,33599456,30684,19316
1049983,999983,0.200203,3,25,31999456,50000,0
1050001,1100001,0.218058,0,25,35199648,35709,14291
1099989,1049989,0.21628,3,25,33599648,50000,0
1100001,1150001,0.231157,0,25,36799520,28087,21913
1149985,1099985,0.224231,3,25,35199520,50000,0
1150001,1200001,0.23876,0,25,38399712,37954,12046
1199991,1149991,0.283994,3,25,36799712,50000,0
1200001,1250001,0.260298,0,25,39999552,34923,15077
1249986,1199986,0.247844,3,25,38399552,50000,0
1250001,1300001,0.266582,0,25,41599520,24059,25941
1299985,1249985,0.29863,3,25,39999520,50000,0
1300001,1350001,0.308581,0,25,43199488,36743,13257
1349984,1299984,0.267697,3,25,41599488,50000,0
1350001,1400001,0.282365,0,25,44799488,32475,17525
1399984,1349984,0.274457,3,25,43199488,50000,0
1400001,1450001,0.294519,0,25,46399488,28321,21679
1449984,1399984,0.303103,3,25,44799488,50000,0
