lower,upper,duration,action,depth,size,hit,miss
1,50001,0.010352,0,0,799984,50000,0
50000,0,0.0045896,3,0,18446744073709551600,50000,0
50001,100001,0.0182907,0,0,1599984,50000,0
100000,50000,0.0158208,3,0,799984,50000,0
100001,150001,0.0517837,0,0,2399952,49998,2
149998,99998,0.0365015,3,0,1599952,50000,0
150001,200001,0.0544272,0,0,3199968,49999,1
199999,149999,0.0415946,3,0,2399968,50000,0
200001,250001,0.0603956,0,0,3999952,49998,2
249998,199998,0.0562004,3,0,3199952,50000,0
250001,300001,0.0647795,0,0,4799936,49997,3
299997,249997,0.0523914,3,0,3999936,50000,0
300001,350001,0.0674822,0,0,5599904,49995,5
349995,299995,0.0694295,3,0,4799904,50000,0
350001,400001,0.0802057,0,0,6399888,49994,6
399994,349994,0.07472,3,0,5599888,50000,0
400001,450001,0.0898679,0,0,7199936,49997,3
449997,399997,0.0959376,3,0,6399936,50000,0
450001,500001,0.101071,0,0,7999888,49994,6
499994,449994,0.0947929,3,0,7199888,50000,0
500001,550001,0.109122,0,0,8799936,49997,3
549997,499997,0.101316,3,0,7999936,50000,0
550001,600001,0.120915,0,0,9599888,49994,6
599994,549994,0.109683,3,0,8799888,50000,0
600001,650001,0.122116,0,0,10399840,49991,9
649991,599991,0.121988,3,0,9599840,50000,0
650001,700001,0.133394,0,0,11199776,49987,13
699987,649987,0.126535,3,0,10399776,50000,0
700001,750001,0.141668,0,0,11999856,49992,8
749992,699992,0.134736,3,0,11199856,50000,0
750001,800001,0.151729,0,0,12799872,49993,7
799993,749993,0.149172,3,0,11999872,50000,0
800001,850001,0.162034,0,0,13599856,49992,8
849992,799992,0.158058,3,0,12799856,50000,0
850001,900001,0.173291,0,0,14399808,49989,11
899989,849989,0.164456,3,0,13599808,50000,0
900001,950001,0.186038,0,0,15199808,49989,11
949989,899989,0.17652,3,0,14399808,50000,0
950001,1000001,0.196985,0,0,15999776,49987,13
999987,949987,0.186905,3,0,15199776,50000,0
1000001,1050001,0.200954,0,0,16799712,49983,17
1049983,999983,0.199169,3,0,15999712,50000,0
1050001,1100001,0.218359,0,0,17599808,49989,11
1099989,1049989,0.204859,3,0,16799808,50000,0
1100001,1150001,0.221831,0,0,18399744,49985,15
1149985,1099985,0.214887,3,0,17599744,50000,0
1150001,1200001,0.235634,0,0,19199840,49991,9
1199991,1149991,0.223497,3,0,18399840,50000,0
1200001,1250001,0.243256,0,0,19999760,49986,14
1249986,1199986,0.23711,3,0,19199760,50000,0
1250001,1300001,0.255018,0,0,20799744,49985,15
1299985,1249985,0.24519,3,0,19999744,50000,0
1300001,1350001,0.260655,0,0,21599728,49984,16
1349984,1299984,0.261792,3,0,20799728,50000,0
1350001,1400001,0.275237,0,0,22399728,49984,16
1399984,1349984,0.266393,3,0,21599728,50000,0
1400001,1450001,0.285288,0,0,23199728,49984,16
1449984,1399984,0.277737,3,0,22399728,50000,0
1450001,1500001,0.293799,0,0,23999824,49990,10
1499990,1449990,0.286024,3,0,23199824,50000,0
1500001,1550001,0.306625,0,0,24799792,49988,12
1549988,1499988,0.294536,3,0,23999792,50000,0
1550001,1600001,0.313199,0,0,25599808,49989,11
1599989,1549989,0.309956,3,0,24799808,50000,0
1600001,1650001,0.322665,0,0,26399744,49985,15
1649985,1599985,0.315738,3,0,25599744,50000,0
1650001,1700001,0.335074,0,0,27199632,49978,22
1699978,1649978,0.325557,3,0,26399632,50000,0
1700001,1750001,0.34488,0,0,27999696,49982,18
1749982,1699982,0.338474,3,0,27199696,50000,0
1750001,1800001,0.355165,0,0,28799648,49979,21
1799979,1749979,0.348595,3,0,27999648,50000,0
1800001,1850001,0.369826,0,0,29599696,49982,18
1849982,1799982,0.355739,3,0,28799696,50000,0
1850001,1900001,0.376309,0,0,30399632,49978,22
1899978,1849978,0.365639,3,0,29599632,50000,0
1900001,1950001,0.387207,0,0,31199648,49979,21
1949979,1899979,0.378847,3,0,30399648,50000,0
1950001,2000001,0.396467,0,0,31999520,49971,29
1999971,1949971,0.38798,3,0,31199520,50000,0
2000001,2050001,0.403958,0,0,32799552,49973,27
2049973,1999973,0.404896,3,0,31999552,50000,0
2050001,2100001,0.414585,0,0,33599504,49970,30
2099970,2049970,0.408245,3,0,32799504,50000,0
2100001,2150001,0.425801,0,0,34399664,49980,20
2149980,2099980,0.421695,3,0,33599664,50000,0
2150001,2200001,0.43918,0,0,35199600,49976,24
2199976,2149976,0.428347,3,0,34399600,50000,0
2200001,2250001,0.448826,0,0,35999536,49972,28
2249972,2199972,0.437274,3,0,35199536,50000,0
2250001,2300001,0.458072,0,0,36799472,49968,32
2299968,2249968,0.448138,3,0,35999472,50000,0
2300001,2350001,0.470019,0,0,37599488,49969,31
2349969,2299969,0.459514,3,0,36799488,50000,0
2350001,2400001,0.482733,0,0,38399584,49975,25
2399975,2349975,0.467027,3,0,37599584,50000,0
2400001,2450001,0.489775,0,0,39199680,49981,19
2449981,2399981,0.4768,3,0,38399680,50000,0
2450001,2500001,0.498145,0,0,39999488,49969,31
2499969,2449969,0.490302,3,0,39199488,50000,0
2500001,2550001,0.50908,0,0,40799616,49977,23
2549977,2499977,0.487437,3,0,39999616,50000,0
2550001,2600001,0.520909,0,0,41599472,49968,32
2599968,2549968,0.510276,3,0,40799472,50000,0
2600001,2650001,0.525092,0,0,42399520,49971,29
2649971,2599971,0.507485,3,0,41599520,50000,0
2650001,2700001,0.523119,0,0,43199552,49973,27
2699973,2649973,0.528383,3,0,42399552,50000,0
2700001,2750001,0.533358,0,0,43999456,49967,33
2749967,2699967,0.539785,3,0,43199456,50000,0
2750001,2800001,0.542301,0,0,44799584,49975,25
2799975,2749975,0.534079,3,0,43999584,50000,0
2800001,2850001,0.54969,0,0,45599456,49967,33
2849967,2799967,0.541716,3,0,44799456,50000,0
2850001,2900001,0.56289,0,0,46399520,49971,29
2899971,2849971,0.54935,3,0,45599520,50000,0
2900001,2950001,0.57249,0,0,47199280,49956,44
2949956,2899956,0.560659,3,0,46399280,50000,0
2950001,3000001,0.580621,0,0,47999392,49963,37
2999963,2949963,0.576374,3,0,47199392,50000,0
3000001,3050001,0.588876,0,0,48799312,49958,42
3049958,2999958,0.588736,3,0,47999312,50000,0
3050001,3100001,0.618721,0,0,49599392,49963,37
3099963,3049963,0.58766,3,0,48799392,50000,0
3100001,3150001,0.611002,0,0,50399552,49973,27
3149973,3099973,0.603212,3,0,49599552,50000,0
3150001,3200001,0.620457,0,0,51199376,49962,38
3199962,3149962,0.612652,3,0,50399376,50000,0
3200001,3250001,0.632098,0,0,51999328,49959,41
3249959,3199959,0.623716,3,0,51199328,50000,0
3250001,3300001,0.641867,0,0,52799472,49968,32
3299968,3249968,0.631581,3,0,51999472,50000,0
3300001,3350001,0.648174,0,0,53599280,49956,44
3349956,3299956,0.643189,3,0,52799280,50000,0
3350001,3400001,0.662098,0,0,54399344,49960,40
3399960,3349960,0.654173,3,0,53599344,50000,0
3400001,3450001,0.676746,0,0,55199360,49961,39
3449961,3399961,0.67301,3,0,54399360,50000,0
3450001,3500001,0.706694,0,0,55999376,49962,38
3499962,3449962,0.684684,3,0,55199376,50000,0
